permno,date,prc,ret,retx,mcap,in_sp,in_sp_tm5,Adj Close
79145,10/7/2020,68.01999664,0.027802907,0.027802907,14601716.64,1,1,0.017396755
79237,10/7/2020,0.81220001,0.030710688,0.030710688,499188.6846,0,0,0.017396755
79265,10/7/2020,36.72999954,0.00190943,0.00190943,4816919.06,1,1,0.017396755
79323,10/7/2020,93.29000092,0.00690771,0.00690771,29135959.93,1,1,0.017396755
79452,10/7/2020,96.5,-0.00381958,-0.00381958,9398714,0,0,0.017396755
79545,10/7/2020,41.54000092,0.040060148,0.040060148,8609331.35,1,1,0.017396755
79547,10/7/2020,54.75999832,-0.007791272,-0.007791272,20382218.98,1,1,0.017396755
79637,10/7/2020,109.5,-0.010303682,-0.010303682,8508150,1,1,0.017396755
79678,10/7/2020,78.47000122,0.002171113,0.002171113,60642087.76,1,1,0.017396755
79698,10/7/2020,125.6200027,0.011351773,0.011351773,11209449.71,1,1,0.017396755
79782,10/7/2020,39.43000031,-0.013016282,-0.013016282,6671832.062,1,1,0.017396755
79785,10/7/2020,4208.819824,0.015333191,0.015333191,15581050.99,1,1,0.017396755
79879,10/7/2020,12.47999954,0.01134517,0.01134517,2857919.895,0,0,0.017396755
79881,10/7/2020,24.20999908,0.060911454,0.060911454,2367398.97,0,0,0.017396755
79906,10/7/2020,90.44999695,0.020880343,0.020880343,19799775.68,1,1,0.017396755
80080,10/7/2020,83.51999664,0.04074762,0.04074762,11304431.55,1,1,0.017396755
80100,10/7/2020,71.02999878,0.01500422,0.01500422,21727153.24,1,1,0.017396755
80183,10/7/2020,122.9499969,-0.004775813,-0.004775813,14061176.4,1,1,0.017396755
80191,10/7/2020,96.69000244,0.031470072,0.031470072,10283755.28,1,1,0.017396755
80204,10/7/2020,264.7600098,0.06056726,0.06056726,16486341.05,1,1,0.017396755
80286,10/7/2020,145.7899933,0.028355708,0.028355708,16984096.85,1,1,0.017396755
80320,10/7/2020,111.3199997,0.014952584,0.014952584,26268402.97,1,1,0.017396755
80381,10/7/2020,156.8500061,-0.011034047,-0.011034047,22075697.26,1,1,0.017396755
80399,10/7/2020,7.619999886,0.024193525,0.024193525,1138915.663,0,0,0.017396755
80539,10/7/2020,17.81999969,0.036649164,0.036649164,3196801.025,0,0,0.017396755
80563,10/7/2020,68.44999695,0.007506542,0.007506542,10627135.83,0,0,0.017396755
80681,10/7/2020,210.4100037,-0.001708026,-0.001708026,13720836.34,1,1,0.017396755
80711,10/7/2020,36.29000092,-0.012516982,-0.012516982,5402310.986,1,1,0.017396755
81045,10/7/2020,62.70999908,-0.003179157,-0.003179157,21637395.37,1,1,0.017396755
81055,10/7/2020,78.23999786,0.034510124,0.034510124,35727199.66,1,1,0.017396755
81061,10/7/2020,148.1300049,0.012993293,0.012993293,24025205.49,1,1,0.017396755
81481,10/7/2020,90.55000305,0.021087086,0.021087086,21488240.12,1,1,0.017396755
81540,10/7/2020,95.58999634,-0.000418288,-0.000418288,19513933.03,1,1,0.017396755
81593,10/7/2020,23.375,-0.005319149,-0.005319149,2122450,0,0,0.017396755
81655,10/7/2020,101.4599991,0.002074065,0.002074065,13198018.14,1,1,0.017396755
81677,10/7/2020,64.62000275,0.013965216,0.013965216,12297186.52,1,1,0.017396755
81696,10/7/2020,27.5,0.002551939,0.002551939,7907102.5,1,1,0.017396755
81736,10/7/2020,170.6999969,0.018192682,0.018192682,24734600.26,1,1,0.017396755
81774,10/7/2020,16.87999916,0.07379128,0.07379128,24513455.5,1,1,0.017396755
82276,10/7/2020,30.23999977,0.001988054,0.001988054,12278014.47,0,0,0.017396755
82303,10/7/2020,198.3300018,-0.007456738,-0.007456738,7927646.833,1,1,0.017396755
82307,10/7/2020,87.19000244,0.022037333,0.022037333,10637180.3,1,1,0.017396755
82515,10/7/2020,331.6400146,0.011066751,0.011066751,13316341.51,1,0,0.017396755
82581,10/7/2020,59.45999908,0.010537031,0.010537031,8470433.63,1,1,0.017396755
82598,10/7/2020,44.59000015,0.028367147,0.028367147,9899202.984,1,1,0.017396755
82642,10/7/2020,221.4799957,0.017550271,0.017550271,50085264.75,1,1,0.017396755
82651,10/7/2020,200.0899963,0.017337827,0.017337827,12390773.11,1,1,0.017396755
82686,10/7/2020,133.5099945,0.001274923,0.001274923,16420260.71,1,1,0.017396755
82775,10/7/2020,37.95000076,0.001055155,0.001055155,13593538.47,1,1,0.017396755
83111,10/7/2020,125.3300018,0.079686418,0.079686418,27447270.4,1,1,0.017396755
83143,10/7/2020,27.10000038,-0.000368876,-0.000368876,7808810.91,1,1,0.017396755
83443,10/7/2020,213.2899933,0.014410724,0.014410724,298895211.8,1,1,0.017396755
83462,10/7/2020,23.51000023,0.088930063,0.088930063,1154764.191,0,0,0.017396755
83597,10/7/2020,325.3800049,0.011219244,0.011219244,12362162.53,0,0,0.017396755
83601,10/7/2020,46.47000122,0.037276831,0.037276831,2479732.205,0,0,0.017396755
83621,10/7/2020,330.3999939,0.044016786,0.044016786,28366161.08,1,1,0.017396755
83906,10/7/2020,63.5,0.008897385,0.008897385,5810250,0,0,0.017396755
83976,10/7/2020,16.51000023,0.062419578,0.062419578,1029778.244,0,0,0.017396755
84032,10/7/2020,8.770000458,0.01153407,0.01153407,3405250.858,1,1,0.017396755
84129,10/7/2020,32.15000153,0.040453136,0.040453136,5272889.6,1,1,0.017396755
84176,10/7/2020,10.89999962,-0.031111145,-0.031111145,752405.1737,0,0,0.017396755
84262,10/7/2020,31.94000053,0.034661472,0.034661472,6719090.152,0,0,0.017396755
84372,10/7/2020,23.19000053,0.0238411,0.0238411,2977596.069,0,0,0.017396755
84373,10/7/2020,116.4499969,0.002065208,0.002065208,15639583.94,1,1,0.017396755
84375,10/7/2020,8.949999809,0.070574187,0.070574187,545538.2884,0,0,0.017396755
84381,10/7/2020,236.4199982,0.015593475,0.015593475,27416917.93,1,1,0.017396755
84519,10/7/2020,41.88000107,0.017987402,0.017987402,6462921.765,0,0,0.017396755
84761,10/7/2020,160.9600067,-0.007644823,-0.007644823,18498811.65,1,1,0.017396755
84767,10/7/2020,163.1199951,-0.011992798,-0.011992798,20571878.18,1,1,0.017396755
84769,10/7/2020,113.0299988,0.026239326,0.026239326,33725551.95,1,1,0.017396755
84788,10/7/2020,3195.689941,0.030881038,0.030881038,1604236351,1,1,0.017396755
85035,10/7/2020,134.6399994,0.027158968,0.027158968,15363904.97,1,1,0.017396755
85058,10/7/2020,82.37999725,-0.006751931,-0.006751931,12821128.49,1,1,0.017396755
85072,10/7/2020,71.77999878,0.036085449,0.036085449,3457140.081,1,1,0.017396755
85257,10/7/2020,106.5400009,0.021182775,0.021182775,24464780.41,1,1,0.017396755
85265,10/7/2020,50.72999954,0.01622599,0.01622599,3716023.196,1,1,0.017396755
85269,10/7/2020,42.34999847,0.000472399,0.000472399,17268508.33,1,1,0.017396755
85348,10/7/2020,93.87999725,0.02132288,0.02132288,28295431.17,1,1,0.017396755
85459,10/7/2020,106.1600037,0.024809416,0.024809416,14427144.5,1,1,0.017396755
85592,10/7/2020,105.7600021,0.012251137,0.012251137,78132105.26,1,1,0.017396755
85593,10/7/2020,73.01999664,0.019689932,0.019689932,3399299.904,0,0,0.017396755
85621,10/7/2020,1011.27002,0.017527841,0.017527841,24241153.64,1,1,0.017396755
85631,10/7/2020,233.0099945,0.021928864,0.021928864,51094198.59,1,1,0.017396755
85663,10/7/2020,198.9600067,0.026254768,0.026254768,14341037.28,1,1,0.017396755
85753,10/7/2020,203.8200073,0.008560597,0.008560597,23288881.68,1,1,0.017396755
85792,10/7/2020,58.36000061,0.028551267,0.028551267,8102877.565,1,1,0.017396755
85908,10/7/2020,40.24000168,0.011055338,0.011055338,2663445.471,0,0,0.017396755
85913,10/7/2020,99.01000214,0.021564217,0.021564217,32112112.01,1,1,0.017396755
85914,10/7/2020,114.4899979,0.018141406,0.018141406,29633675.13,1,1,0.017396755
85926,10/7/2020,41.95999908,0.003827748,0.003827748,6532164.817,1,1,0.017396755
86102,10/7/2020,22.72999954,0.030371718,0.030371718,2277250.464,0,0,0.017396755
86111,10/7/2020,241.7700043,0.003153437,0.003153437,107242162.6,1,1,0.017396755
86136,10/7/2020,122.7200012,0.004008818,0.004008818,35497987.55,1,1,0.017396755
86158,10/7/2020,72.23999786,0.03451233,0.03451233,38937358.85,1,1,0.017396755
86228,10/7/2020,92.91999817,0.004757729,0.004757729,29594368.98,1,1,0.017396755
86288,10/7/2020,875.7199707,0.013658659,0.013658659,34519129.81,0,0,0.017396755
86339,10/7/2020,164.9199982,-0.00102973,-0.00102973,72115722.04,1,1,0.017396755
86356,10/7/2020,50.93999863,0.025775248,0.025775248,35097659.05,1,1,0.017396755
86580,10/7/2020,558.5599976,0.01656167,0.01656167,344631518.5,1,1,0.017396755
86783,10/7/2020,1758.849976,0.028741725,0.028741725,72031941.9,1,1,0.017396755
86799,10/7/2020,10.27000046,0.064248793,0.064248793,2305645.913,0,0,0.017396755
86868,10/7/2020,203.6000061,0.012482022,0.012482022,70053875.7,1,1,0.017396755
86964,10/7/2020,127.6299973,0.017620787,0.017620787,7798065.202,1,1,0.017396755
86979,10/7/2020,22.29000092,0.025299041,0.025299041,7394707.804,1,1,0.017396755
86996,10/7/2020,313.3099976,-0.005491401,-0.005491401,34916206.06,1,1,0.017396755
87055,10/7/2020,363.019989,0.013031904,0.013031904,160174583.7,1,1,0.017396755
87137,10/7/2020,9.869999886,0.014388525,0.014388525,3776331.046,1,1,0.017396755
87267,10/7/2020,592.0499878,0.020371245,0.020371245,90278150.34,1,1,0.017396755
87299,10/7/2020,109.6800003,0.014053223,0.014053223,17855904.05,1,1,0.017396755
87432,10/7/2020,103.8799973,0.022139132,0.022139132,32027241.95,1,1,0.017396755
87445,10/7/2020,317.8699951,0.009527742,0.009527742,11717641.63,1,1,0.017396755
87447,10/7/2020,174.9900055,0.033303805,0.033303805,123732108.1,1,1,0.017396755
87541,10/7/2020,111.9700012,0.023398204,0.023398204,10618675.07,1,1,0.017396755
87657,10/7/2020,81.5,0.037027661,0.037027661,50671891.5,1,1,0.017396755
87717,10/7/2020,90.73999786,0.015897876,0.015897876,15356020.58,1,1,0.017396755
87842,10/7/2020,39.34000015,0.0252802,0.0252802,35707423.22,1,1,0.017396755
88031,10/7/2020,78.76000214,0.014556292,0.014556292,41576853.81,1,1,0.017396755
88182,10/7/2020,23.35000038,0.020096155,0.020096155,9601987.157,0,0,0.017396755
88281,10/7/2020,237.3500061,0.017010888,0.017010888,11791310.95,0,0,0.017396755
88319,10/7/2020,80.52999878,0.064929858,0.064929858,2254839.966,0,0,0.017396755
88352,10/7/2020,720.2800293,0.030414021,0.030414021,84632903.44,1,1,0.017396755
88436,10/7/2020,4.440000057,0.044705898,0.044705898,1022483.173,0,0,0.017396755
88446,10/7/2020,324.3399963,0.022251632,0.022251632,47353639.47,1,1,0.017396755
88661,10/7/2020,17.87000084,0.061794471,0.061794471,4956673.613,1,1,0.017396755
88664,10/7/2020,164.4400024,0.014685949,0.014685949,12547429.95,1,1,0.017396755
88837,10/7/2020,96.91999817,0.018602172,0.018602172,18534689.69,1,1,0.017396755
88853,10/7/2020,10.89999962,0.14978905,0.14978905,1532158.446,0,0,0.017396755
88860,10/7/2020,323.6199951,0.023854749,0.023854749,25517112.99,1,1,0.017396755
88873,10/7/2020,176.8099976,0.010804936,0.010804936,52909154.1,1,1,0.017396755
89002,10/7/2020,46.77000046,0.016739141,0.016739141,2231630.572,0,0,0.017396755
89003,10/7/2020,144.6000061,0.001593205,0.001593205,89594597.58,1,1,0.017396755
89006,10/7/2020,56.18999863,0.001782822,0.001782822,80342876.21,1,1,0.017396755
89017,10/7/2020,211.1199951,0.009901899,0.009901899,27207244.89,1,1,0.017396755
89070,10/7/2020,144.8300018,0.026580663,0.026580663,29987051.88,1,1,0.017396755
89071,10/7/2020,223.4499969,0.014068485,0.014068485,141890748.1,1,1,0.017396755
89179,10/7/2020,293.1199951,0.033422578,0.033422578,73721437.49,1,1,0.017396755
89195,10/7/2020,43.09000015,0.032590479,0.032590479,11828205.04,1,1,0.017396755
89216,10/7/2020,113.2600021,0.032546263,0.032546263,4489286.705,0,0,0.017396755
89217,10/7/2020,156.8099976,0.010634145,0.010634145,10841686.42,1,1,0.017396755
89258,10/7/2020,67.79000092,0.037496246,0.037496246,26777050.36,1,1,0.017396755
89269,10/7/2020,64.62000275,0.038072333,0.038072333,37445352.99,1,1,0.017396755
89301,10/7/2020,9.359999657,0.025191626,0.025191626,609916.2976,0,0,0.017396755
89393,10/7/2020,534.6599731,0.056911811,0.056911811,236210102.8,1,1,0.017396755
89508,10/7/2020,94.09999847,0.010198572,0.010198572,15447643.95,1,1,0.017396755
89509,10/7/2020,24.20999908,0.026717521,0.026717521,2470581.987,0,0,0.017396755
89525,10/7/2020,44.95999908,0.010110105,0.010110105,205281915.7,1,1,0.017396755
89533,10/7/2020,75.05999756,0.009956914,0.009956914,8096872.057,1,1,0.017396755
89617,10/7/2020,803.2600098,0.015717654,0.015717654,71572073.39,1,1,0.017396755
89626,10/7/2020,169.5,0.006950622,0.006950622,60686085,1,1,0.017396755
89641,10/7/2020,50.45000076,0.017137144,0.017137144,12996172.45,1,1,0.017396755
89781,10/7/2020,203.5299988,0.026995692,0.026995692,12069328.93,0,0,0.017396755
89866,10/7/2020,30.31999969,0.029192146,0.029192146,9227406.787,1,1,0.017396755
90038,10/7/2020,123.8099976,0.007404361,0.007404361,7385018.734,1,1,0.017396755
90071,10/7/2020,31.38999939,0.009324727,0.009324727,7663491.671,1,1,0.017396755
90090,10/7/2020,86.05000305,0.011163391,0.011163391,4609096.313,0,0,0.017396755
90162,10/7/2020,3.400000095,-0.011627896,-0.011627896,1719023.048,0,0,0.017396755
90199,10/7/2020,48.95000076,0.007823781,0.007823781,16411858.36,1,1,0.017396755
90215,10/7/2020,259.980011,0.039338019,0.039338019,236581810,1,1,0.017396755
90248,10/7/2020,431.0499878,0.008233314,0.008233314,16960523.87,1,1,0.017396755
90305,10/7/2020,112.5299988,0.005180901,0.005180901,14524246.94,1,1,0.017396755
90319,10/7/2020,1459.140015,0.00559606,0.00559606,438677313.1,1,1,0.017396755
90373,10/7/2020,152.5800018,-0.00294058,-0.00294058,41043257.59,1,1,0.017396755
90386,10/7/2020,19.73999977,0.048327129,0.048327129,7483236.513,1,1,0.017396755
90454,10/7/2020,510.230011,0.02336641,0.02336641,19370882.37,1,1,0.017396755
90455,10/7/2020,298.3200073,0.041220192,0.041220192,13453039.05,0,0,0.017396755
90505,10/7/2020,46.18000031,-0.005170139,-0.005170139,35272422.77,1,1,0.017396755
90520,10/7/2020,116.4599991,0.047584791,0.047584791,13776169.75,1,1,0.017396755
90601,10/7/2020,122.9800034,-0.004774592,-0.004774592,20171303.13,1,1,0.017396755
90664,10/7/2020,393.8200073,0.05049479,0.05049479,37806720.7,1,1,0.017396755
90805,10/7/2020,22.19000053,0.031133832,0.031133832,3550400.085,1,1,0.017396755
90808,10/7/2020,93.48999786,0.017633559,0.017633559,12705851.65,1,1,0.017396755
90829,10/7/2020,30.95000076,-0.010866096,-0.010866096,6619586.163,1,1,0.017396755
90880,10/7/2020,164.8899994,0.03185229,0.03185229,19831155.34,1,1,0.017396755
90979,10/7/2020,12.17000008,0.041060779,0.041060779,2294434.454,1,1,0.017396755
90993,10/7/2020,100.8499985,-0.001584038,-0.001584038,56601859.94,1,1,0.017396755
91041,10/7/2020,54.81999969,0.011252548,0.011252548,11909919.03,1,1,0.017396755
91068,10/7/2020,1278.680054,0.017725121,0.017725121,35762123.74,1,1,0.017396755
91103,10/7/2020,36.38000107,0.043004587,0.043004587,10586216.51,1,1,0.017396755
91152,10/7/2020,488.5,0.01656468,0.01656468,26479631,1,1,0.017396755
91233,10/7/2020,343.8999939,0.01917435,0.01917435,341333124.3,1,1,0.017396755
91392,10/7/2020,32.79000092,-0.000304827,-0.000304827,2795380.368,0,0,0.017396755
91416,10/7/2020,16.79999924,0.011438809,0.011438809,5849104.534,1,1,0.017396755
91461,10/7/2020,22.02000046,0.013345648,0.013345648,9050308.268,1,1,0.017396755
91547,10/7/2020,88.48000336,-0.005954373,-0.005954373,12581325.6,1,1,0.017396755
91556,10/7/2020,97.13999939,0.026415892,0.026415892,34574262.86,1,1,0.017396755
91611,10/7/2020,78.70999908,0.071759209,0.071759209,8341292.153,0,0,0.017396755
91668,10/7/2020,176.4499969,0.014255307,0.014255307,9404961.287,1,1,0.017396755
91849,10/7/2020,137.5099945,0.012964969,0.012964969,15835925.99,1,1,0.017396755
91926,10/7/2020,32.15000153,0.035093434,0.035093434,20507103.52,1,1,0.017396755
91937,10/7/2020,114.2200012,0.015740367,0.015740367,141685228.5,1,1,0.017396755
92121,10/7/2020,63.72000122,0.042880569,0.042880569,19525146.49,1,1,0.017396755
92157,10/7/2020,104.5500031,0.026711198,0.026711198,34505473.91,1,1,0.017396755
92239,10/7/2020,44.59000015,0.027893016,0.027893016,8771165.16,1,1,0.017396755
92293,10/7/2020,21.94000053,-0.000910681,-0.000910681,2391460.058,0,0,0.017396755
92322,10/7/2020,229.4900055,0.017333113,0.017333113,12925565.58,1,1,0.017396755
92402,10/7/2020,342.8099976,-0.01468733,-0.01468733,28671599.77,1,1,0.017396755
92602,10/7/2020,79.05000305,0.047019906,0.047019906,123103542.1,1,1,0.017396755
92611,10/7/2020,202.4700012,0.010077347,0.010077347,341365839.3,1,1,0.017396755
92614,10/7/2020,154.5099945,0.013246697,0.013246697,27997829.04,1,1,0.017396755
92655,10/7/2020,323.1700134,0.027730962,0.027730962,307120097.9,1,1,0.017396755
92778,10/7/2020,19.98500061,0.033617873,0.033617873,6575065.201,1,1,0.017396755
93002,10/7/2020,366.7399902,0.007582777,0.007582777,148346692.8,1,1,0.017396755
93089,10/7/2020,183.0299988,0.018021056,0.018021056,29788315.33,1,1,0.017396755
93096,10/7/2020,214.5299988,0.010551631,0.010551631,53425263.72,1,1,0.017396755
93132,10/7/2020,120.6900024,0.020202868,0.020202868,19587987.4,1,1,0.017396755
93246,10/7/2020,207.0399933,-0.001591367,-0.001591367,13000041.18,0,0,0.017396755
93422,10/7/2020,0.953999996,0.007711017,0.007711017,231178.0491,0,0,0.017396755
93429,10/7/2020,84.88999939,-0.022455055,-0.022455055,9232466.554,1,1,0.017396755
93436,10/7/2020,425.2999878,0.027344259,0.027344259,403184388.4,0,0,0.017396755
10104,10/8/2020,60.88999939,0.0049513,0.0049513,183332968.5,1,1,0.008010124
10107,10/8/2020,210.5800018,0.003574322,0.003574322,1592579913,1,1,0.008010124
10138,10/8/2020,140.8300018,0.026233377,0.026233377,31880391.66,1,1,0.008010124
10145,10/8/2020,173.7799988,0.012999101,0.012999101,121955848.9,1,1,0.008010124
10516,10/8/2020,48.84999847,0.011177749,0.011177749,27143355.1,1,1,0.008010124
10693,10/8/2020,66.84999847,0.015494404,0.015494404,6647964.948,0,0,0.008010124
10696,10/8/2020,103.3899994,0.009470819,0.009470819,69302316.59,1,1,0.008010124
10866,10/8/2020,10.17000008,0.02416916,0.02416916,385565.0429,0,0,0.008010124
10874,10/8/2020,63.38000107,-0.020401793,-0.020401793,5017287.645,0,0,0.008010124
10890,10/8/2020,10.64000034,0.011406832,0.011406832,670500.9016,0,0,0.008010124
10909,10/8/2020,71.83999634,0.005036275,0.005036275,22008470.24,1,1,0.008010124
11308,10/8/2020,50.45999908,0.01815976,0.01815976,216747848,1,1,0.008010124
11403,10/8/2020,109.3199997,0.008115062,0.008115062,30492736.83,1,1,0.008010124
11404,10/8/2020,82.26999664,0.017815104,0.017815104,27519067.07,1,1,0.008010124
11600,10/8/2020,46.06000137,0.022419581,0.022419581,10064110.3,1,1,0.008010124
11618,10/8/2020,46,-0.004544451,-0.004544451,26406300,1,1,0.008010124
11674,10/8/2020,121.8700027,0.064273864,0.064273864,23478377.9,1,1,0.008010124
11762,10/8/2020,107.4800034,0.004955647,0.004955647,43002749.34,1,1,0.008010124
11786,10/8/2020,273.2000122,0.025025375,0.025025375,14148482.23,1,1,0.008010124
11850,10/8/2020,35.25999832,0.052537262,0.052537262,149087488.5,1,1,0.008010124
11891,10/8/2020,21.93000031,0.020000014,0.020000014,10817652.48,1,1,0.008010124
11896,10/8/2020,71.44000244,0.019551916,0.019551916,19095984.09,1,1,0.008010124
11955,10/8/2020,114.6999969,0.00720056,0.00720056,48456275.41,1,1,0.008010124
12052,10/8/2020,145.0399933,0.008766468,0.001173453,41616615.35,1,1,0.008010124
12060,10/8/2020,6.650000095,0.053882752,0.053882752,58209372.68,1,1,0.008010124
12062,10/8/2020,194.2599945,0.009090438,0.009090438,18920923.46,1,1,0.008010124
12073,10/8/2020,11.02999973,0.005469413,0.005469413,4684440.887,1,1,0.008010124
12076,10/8/2020,20.90999985,0.03463636,0.03463636,1094492.122,0,0,0.008010124
12084,10/8/2020,134.8300018,0.009206555,0.009206555,37718693.01,0,0,0.008010124
12308,10/8/2020,629.0800171,0.008577488,0.008577488,125737368.4,1,1,0.008010124
12345,10/8/2020,79.26000214,-0.00188895,-0.00188895,26460079.85,1,1,0.008010124
12369,10/8/2020,32.20999908,0.01865902,0.01865902,46095633.06,1,1,0.008010124
12431,10/8/2020,129.8000031,0.014538069,0.014538069,31068149.93,1,1,0.008010124
12448,10/8/2020,123.7600021,0.008392396,0.008392396,21198603.25,1,1,0.008010124
12449,10/8/2020,245.1199951,0.017517647,0.017517647,20602825.83,1,1,0.008010124
